p,o,a,b,c
113,-,9184,63,81
113,+,40483,82,111
113,+,27885,52,26
97,-,68089,42,50
97,+,9230,49,64
113,-,94644,16,47
97,/,9313,88,8
97,-,49384,42,66
113,/,18391,41,109
97,-,46204,92,37
113,/,67524,109,54
113,-,38133,60,105
113,/,7715,22,11
113,+,90338,31,82
97,+,2688,91,63
97,-,24752,80,34
97,-,31330,7,89
97,-,92272,0,25
97,+,61954,6,74
97,-,50757,88,35
113,-,64108,52,98
113,-,51028,56,9
113,-,11670,73,71
113,-,47699,73,53
113,+,88625,95,15
97,-,66367,46,70
97,-,47231,86,3
113,-,62226,61,15
113,-,85237,6,29
97,/,34702,16,34
97,-,21582,29,19
97,-,9127,75,31
113,+,46526,89,59
113,+,88625,88,8
113,-,5188,62,41
97,+,5520,40,31
113,-,13469,63,72
113,/,21170,73,64
113,+,98262,90,42
97,/,68089,15,77
97,/,84026,28,90
113,+,13469,80,102
113,+,13469,78,100
97,-,35467,52,10
113,+,84344,44,90
113,-,45819,45,9
97,-,84096,44,50
113,/,77503,110,26
113,/,36672,55,101
97,/,84026,96,2
113,/,90132,17,103
113,/,25005,77,98
113,+,65979,103,90
97,+,34702,93,69
113,/,29229,73,61
113,/,6268,50,12
113,-,15577,113,96
113,/,73905,86,68
113,-,50938,38,50
97,-,49039,29,25
113,+,22918,110,89
97,-,84096,21,73
113,-,22704,90,14
97,/,13485,1,2
113,/,64945,43,41
97,-,97913,4,36
97,/,55447,16,70
113,-,92447,92,34
113,/,88178,91,64
113,-,71965,97,0
97,-,24506,60,2
113,/,90338,106,61
113,-,29376,15,94
97,-,60736,69,42
113,+,13880,48,29
97,-,9127,11,95
97,-,13470,63,21
113,/,61287,62,84
113,+,8764,55,5
113,+,38124,24,67
113,-,58742,13,82
97,+,39030,87,26
97,/,39855,11,34
113,+,77452,8,55
97,-,36556,73,11
97,-,34702,85,85
113,/,61287,19,61
113,+,76255,23,3
113,+,92447,85,98
113,/,45819,23,71
97,-,32087,25,52
113,+,78288,112,91
97,+,31330,11,10
113,/,46646,80,18
113,+,45066,55,34
113,/,95111,43,64
113,/,65979,77,65
113,+,61208,30,105
113,-,29376,40,69
97,+,81442,1,60
97,/,89479,32,80
97,+,84026,69,93
113,+,92542,39,34
97,/,84026,12,18
97,-,31026,11,72
97,/,80549,22,72
113,-,74692,61,51
113,-,60716,88,60
113,/,73905,9,75
113,+,45066,96,75
113,+,65979,63,50
113,/,38133,108,14
113,-,32155,110,66
97,+,56754,5,14
97,-,25040,4,10
97,/,36556,90,18
113,/,6146,82,74
113,+,6146,50,94
97,+,57363,47,83
113,-,87038,58,83
113,-,45420,102,5
97,/,31330,14,6
113,+,40541,31,5
113,+,47699,13,26
97,-,27813,49,22
113,-,38286,55,37
113,-,60716,22,13
113,/,10530,81,17
97,/,47231,25,46
113,-,17221,27,18
97,/,95595,6,24
113,-,60444,50,52
97,/,7373,74,2
113,+,15577,77,60
97,-,13470,5,79
97,+,39855,73,61
113,/,8764,23,42
97,-,3080,11,62
113,-,88107,3,77
113,-,60444,19,83
113,-,13469,32,103
113,+,7715,91,9
113,+,77503,109,94
97,-,66732,81,12
113,/,98262,11,5
113,-,47699,102,24
113,-,40483,104,38
113,/,12109,110,110
97,+,66732,67,63
113,/,61208,50,94
97,-,24752,21,93
113,/,22918,38,38
97,-,17918,12,58
113,+,90764,13,38
113,-,77452,68,92
113,-,7715,0,31
97,+,47106,19,80
97,-,47058,19,91
97,+,94353,44,16
113,+,18628,109,92
113,+,3489,84,70
97,+,64490,37,22
97,/,81442,13,56
113,/,66952,9,94
113,+,84344,25,71
97,/,34702,58,16
113,-,76255,106,100
97,+,78745,52,33
113,/,17221,12,79
97,-,89479,4,41
113,+,88625,27,60
97,-,25367,8,42
97,+,97913,23,63
97,-,58237,41,93
113,-,4738,6,99
113,+,2527,81,9
113,+,90082,48,69
97,/,25040,85,3
97,/,94353,9,7
97,+,69658,68,80
113,+,61287,54,95
113,-,32155,87,89
97,/,45468,56,35
113,/,2527,98,25
113,-,88178,97,54
113,-,5188,0,103
113,/,73905,55,100
97,-,66367,27,89
97,-,9313,8,90
113,-,99308,55,39
113,-,29376,19,90
113,/,99308,68,104
97,+,96984,9,90
113,/,64460,65,87
97,-,36556,16,68
113,+,60716,101,23
113,-,92447,111,15
113,-,21170,96,56
97,-,69912,26,46
113,-,40541,17,70
97,+,49039,13,67
113,+,12109,102,7
97,+,37093,56,95
113,-,90082,22,112
97,/,5956,10,13
113,+,29229,10,85
113,-,87985,59,12
113,/,11343,29,52
113,/,92067,61,40
97,-,2688,90,76
113,-,29229,80,108
97,-,39813,51,89
97,-,69658,79,30
113,-,38124,41,2
113,/,99188,62,17
113,+,2527,23,64
97,-,78561,41,47
97,+,71429,55,92
113,/,15416,28,98
113,-,38353,39,7
113,/,90132,12,53
113,+,5188,29,19
113,/,99188,69,81
97,-,36935,89,83
113,+,40358,78,95
113,/,6496,108,60
97,-,92272,66,56
113,-,87985,18,53
113,/,62226,79,109
97,+,32087,62,42
113,-,38353,25,21
97,/,25040,57,51
97,/,34702,54,60
97,+,5520,58,49
113,/,38353,19,97
97,/,71429,32,1
113,-,45819,37,17
97,+,85802,8,62
113,+,38133,80,19
113,-,45066,7,85
113,+,8764,78,28
113,+,48186,51,99
113,/,51028,101,53
113,/,42439,73,16
113,-,38286,25,67
97,/,77561,76,50
97,-,51782,23,58
113,-,60716,20,15
113,+,45420,19,13
97,+,68089,2,94
97,+,9313,23,24
113,/,90338,33,25
97,/,84026,50,31
113,-,62226,2,74
113,-,22704,82,22
97,-,76017,52,14
97,/,86933,70,77
113,+,61208,6,81
113,+,54179,84,23
113,/,94644,38,4
97,+,45468,88,63
113,-,85237,96,52
113,-,88178,62,89
97,-,31026,0,83
113,-,5188,82,21
113,/,98262,99,88
113,-,36672,84,89
97,/,78561,47,22
113,/,40358,31,58
113,/,94644,92,11
113,+,98262,47,112
97,-,78561,71,17
97,-,95595,88,59
97,+,34913,76,69
97,/,66732,3,31
97,/,39813,33,42
113,+,48186,78,13
113,-,10530,78,56
97,-,24752,31,83
97,/,83449,60,32
113,+,58742,12,107
113,+,98262,29,94
113,/,58742,36,49
113,+,73905,33,36
113,-,69342,50,23
113,+,44017,73,20
97,-,21691,16,44
97,/,31330,33,76
113,+,73905,38,41
97,/,17531,10,7
113,/,60444,22,35
113,/,98030,112,84
113,-,58742,61,34
113,-,13469,71,64
113,/,42439,76,106
113,-,98262,85,93
113,/,87985,59,22
113,-,22918,15,77
113,-,92067,41,44
113,/,11343,103,110
113,-,7715,34,110
113,-,53879,108,96
113,/,38286,67,6
97,/,31330,70,59
113,+,90082,36,57
113,-,29229,71,4
97,+,37093,47,86
97,+,3357,61,23
97,-,49384,41,67
113,/,64945,34,102
113,/,96626,53,15
97,+,34702,74,50
113,/,46526,66,26
113,+,32819,31,80
113,-,51028,109,69
97,/,89479,8,29
113,/,6268,17,29
113,-,92542,56,52
113,/,46646,93,49
113,/,15416,6,83
113,-,62575,103,96
113,/,60716,47,48
113,/,64108,8,103
97,/,9127,73,28
113,+,73271,110,44
97,-,66969,22,17
113,/,61287,106,13
97,-,24752,69,45
97,/,17531,3,23
113,-,51677,86,63
97,/,83449,70,28
113,-,18391,94,104
113,+,74692,102,101
97,+,21691,88,51
113,/,50938,95,84
97,/,69912,9,8
113,/,84984,95,103
113,/,29376,93,89
113,/,84344,97,78
113,+,22918,22,1
97,-,5956,6,33
97,+,39813,75,21
97,/,22452,47,89
97,-,35942,27,25
97,/,24752,55,62
97,/,17531,86,9
113,+,92067,38,10
97,/,49039,82,16
113,+,92542,94,89
97,-,49203,9,15
113,/,36672,50,55
97,-,31330,74,22
113,-,90132,6,65
97,-,302,76,32
97,+,81442,0,59
97,+,24752,44,61
97,/,92272,42,62
97,+,96984,64,48
113,/,32138,59,92
113,-,94644,6,57
113,-,95111,113,78
113,+,38124,74,4
113,/,58742,22,71
113,+,32819,24,73
97,/,41940,14,85
113,+,3489,75,61
97,/,41940,6,6
97,+,80549,10,49
97,+,46204,58,90
113,/,52810,70,76
97,+,45468,43,18
97,-,39776,20,83
113,+,44017,79,26
97,+,46992,3,47
97,-,46204,0,32
113,/,58742,68,72
97,+,59127,69,26
97,+,85802,67,24
97,-,39776,56,47
97,+,39813,30,73
113,-,47699,86,40
97,/,39855,41,2
113,+,99188,15,102
113,+,27885,62,36
97,/,71429,57,89
113,+,5188,82,72
113,-,3489,51,48
113,/,92437,61,46
97,+,68089,68,63
113,+,94245,29,32
97,+,94353,73,45
113,/,17221,112,40
97,/,70596,36,21
113,+,6268,112,52
113,-,51028,36,29
97,-,85802,26,28
113,+,88107,76,43
113,-,38286,106,99
113,-,13880,107,100
113,-,22918,20,72
113,/,22918,39,22
97,/,9297,71,33
113,-,11670,112,32
113,+,90338,32,83
113,+,92447,105,5
97,-,59127,89,62
113,-,94245,46,70
113,-,99188,73,14
113,+,90132,27,98
113,/,53879,104,66
97,+,78561,32,23
113,-,40483,66,76
113,+,88625,28,61
97,+,22902,62,72
97,-,81815,12,32
113,+,46646,70,47
113,/,87985,77,12
113,/,62226,74,49
113,-,73905,70,46
113,-,15416,111,50
113,/,8764,94,93
97,+,47106,2,63
113,-,64945,32,51
97,/,68089,8,72
97,/,83449,65,22
113,/,71965,58,110
113,+,60439,58,42
113,-,18628,9,87
113,+,52810,52,91
97,+,24506,19,81
97,+,77561,20,78
97,/,29432,23,18
113,-,9184,12,19
113,-,32155,36,27
113,+,88178,81,6
97,/,34913,4,95
97,+,66367,61,80
113,+,95111,95,60
113,-,90082,60,74
113,/,51028,42,84
113,/,38133,106,20
113,-,15577,0,96
113,-,40541,66,21
113,-,2296,49,100
113,/,13469,63,100
97,/,61954,86,41
113,/,27885,65,90
97,/,39776,12,16
97,/,47231,45,79
97,-,22452,89,53
113,-,90764,34,104
113,-,44017,6,54
97,+,55447,84,47
113,/,60261,83,48
113,-,77452,52,108
113,+,77503,43,28
97,+,32087,68,48
97,/,77561,18,40
97,/,65197,42,0
113,-,53879,5,86
113,/,32157,5,103
113,+,58742,55,37
97,/,81815,75,23
113,/,98030,26,41
97,+,45681,60,54
113,-,78097,9,5
113,+,32155,111,61
113,-,51677,82,67
113,/,32819,7,55
97,-,21582,46,2
113,+,21170,34,73
113,-,88625,57,89
113,/,46526,68,6
97,-,97317,65,58
97,/,39776,60,80
113,+,7715,31,62
113,+,45066,38,17
97,-,41940,58,75
113,+,5188,1,104
113,+,32157,34,99
97,-,3080,38,35
97,-,13470,88,93
113,/,85237,108,111
97,-,47231,72,17
113,/,73271,37,59
97,/,29432,89,39
113,+,92447,39,52
113,/,36672,80,6
97,+,31330,69,68
97,-,47231,8,81
97,+,47106,39,3
97,+,66732,64,60
113,-,17221,40,5
113,-,87985,73,111
113,/,64945,8,95
97,/,84096,11,79
113,/,18391,22,44
97,+,66732,19,15
97,+,34913,45,38
113,+,60716,38,73
113,/,95111,55,34
97,-,39813,55,85
97,+,39776,9,15
113,-,73271,94,66
113,/,7715,61,13
97,/,31330,6,80
97,-,51782,87,91
113,/,61208,9,20
97,/,39813,28,63
113,+,66952,51,107
97,/,10109,41,52
97,/,49203,32,82
97,/,34702,9,72
113,-,88625,56,90
113,/,62575,27,57
113,-,46526,37,46
97,/,36413,29,91
113,/,22918,100,3
113,+,62226,97,60
113,+,77503,49,34
97,-,60736,26,85
113,+,87038,16,44
113,+,15577,95,78
113,/,2527,21,7
113,/,94644,1,63
113,-,38133,28,24
113,-,29376,67,42
113,+,94644,33,96
113,/,88178,44,83
97,/,39030,73,49
97,/,25040,38,76
97,/,64490,70,48
113,/,99188,111,102
113,-,6496,86,82
97,/,7373,94,78
97,/,76017,96,15
113,/,77452,46,101
113,/,66952,48,38
113,/,73271,112,89
97,-,95595,79,68
97,-,39030,46,87
97,-,81815,27,17
113,/,74692,106,26
113,-,29376,35,74
97,+,31330,66,65
113,-,13880,38,56
97,/,95595,76,93
113,-,45420,48,59
113,-,84344,69,90
113,+,6268,39,92
113,-,76255,13,80
97,-,95595,9,41
113,/,67524,41,64
113,/,87038,7,4
113,/,66952,76,89
113,-,5188,6,97
113,+,61287,45,86
97,+,66732,66,62
113,+,2296,2,38
113,-,58742,25,70
113,-,60716,7,28
113,+,64460,42,92
97,-,78480,17,87
97,/,55447,69,27
113,-,84984,43,78
97,+,51782,71,55
97,+,69658,38,50
97,+,85802,13,67
113,/,98030,13,82
97,+,39813,60,6
97,/,45468,35,38
97,/,34913,11,69
113,+,98030,96,42
113,+,65979,112,99
97,/,3357,13,64
113,-,46526,20,63
97,/,25040,22,71
97,/,83449,22,10
113,-,13880,97,110
97,-,66969,63,73
97,/,36413,3,12
113,-,11670,75,69
113,-,4738,109,109
113,/,32157,79,68
113,+,22918,72,51
113,+,87038,71,99
113,+,87985,98,56
97,+,65197,52,65
113,-,90338,99,65
113,-,51028,20,45
97,-,66367,88,28
97,+,3080,42,18
113,/,36672,8,64
113,+,94644,96,46
113,+,4030,90,52
113,-,58742,100,108
97,/,5956,45,35
97,/,47106,63,68
97,+,55447,9,69
113,-,17221,102,56
113,/,3935,90,43
113,/,10530,85,10
113,+,13880,21,2
97,+,35467,75,40
97,+,35467,8,70
113,+,7715,97,15
113,/,29376,88,107
97,/,97317,94,65
97,/,80549,14,30
97,/,71429,18,88
97,+,84096,36,33
97,+,61954,54,25
113,-,38353,93,66
97,/,64490,17,10
97,-,36556,70,14
97,/,81442,74,33
97,-,64490,5,77
97,/,3357,12,85
97,/,56754,94,21
113,/,84984,104,26
113,/,38353,54,32
113,/,71965,62,30
113,-,47699,60,66
113,-,9184,9,22
113,/,12109,13,27
113,/,4738,19,23
113,-,92447,55,71
97,+,35467,58,23
97,+,24752,51,68
113,+,60444,54,43
97,-,3080,94,76
97,/,58237,81,39
97,+,83449,28,57
97,+,37093,14,53
113,+,46526,81,51
113,+,38286,94,73
113,/,99308,31,39
113,-,2527,4,37
113,/,48186,104,11
113,/,51028,67,83
113,-,77503,41,57
97,-,58237,43,91
113,/,12109,93,17
113,+,88178,100,25
113,-,44017,52,8
113,-,47699,105,21
97,+,97317,10,36
113,+,77452,23,70
97,/,24506,66,80
113,/,11670,88,19
113,/,66952,36,51
113,+,94644,14,77
113,/,67524,42,25
97,/,13470,23,3
113,-,3489,60,39
113,/,46526,53,86
97,-,49039,81,70
97,+,7373,55,56
113,/,4738,46,103
113,/,71965,29,108
97,/,31026,15,31
97,+,80549,61,3
113,/,64945,99,91
113,-,78097,5,9
113,-,5188,15,88
97,+,45681,15,9
97,+,21582,65,16
113,-,38353,38,8
113,-,45420,3,104
97,+,9230,86,4
113,-,92437,44,72
97,/,25040,71,61
97,/,9313,95,1
113,-,10530,48,86
113,+,56838,37,36
113,+,58742,52,34
97,/,66969,59,68
113,+,92542,47,42
113,-,84984,112,9
113,-,92542,78,30
113,/,48186,64,74
97,/,95595,59,68
97,/,34913,87,13
97,-,41940,90,43
113,+,48186,100,35
97,-,22452,70,72
113,-,77503,64,34
113,+,46526,74,44
113,+,45066,6,98
113,/,38286,1,92
97,+,34913,28,21
113,+,10530,92,0
113,-,9184,82,62
113,+,77503,110,95
97,/,69912,80,0
113,+,44017,48,108
113,-,71965,51,46
97,+,24506,47,12
113,/,90338,42,3
97,/,49384,93,46
113,/,50938,88,13
113,+,8764,79,29
113,+,28473,38,35
113,/,67524,37,16
97,/,84096,88,82
113,/,53879,85,68
113,/,38286,95,64
113,-,15416,94,67
113,-,16295,2,21
113,+,27885,65,39
97,-,27813,31,40
113,/,61287,42,103
113,/,11343,111,102
113,+,32155,70,20
113,/,50938,3,29
113,-,5188,61,42
113,/,66178,84,109
97,+,78561,73,64
97,+,34913,33,26
113,/,18628,70,40
113,/,16295,83,83
113,-,40541,26,61
97,+,35467,63,28
97,-,3080,48,25
113,-,3489,13,86
97,/,78480,59,69
113,/,8764,29,76
97,-,27813,25,46
97,+,84026,95,22
97,-,70596,96,78
113,-,38286,94,111
113,+,45819,109,50
113,/,15577,72,103
113,+,3935,75,55
97,+,45468,56,31
113,/,60444,60,103
113,+,90338,0,51
97,/,66969,54,76
113,+,15577,92,75
97,+,89479,40,85
113,+,35865,67,111
97,-,37093,42,94
113,+,92437,16,19
113,+,7715,87,5
97,+,41477,62,23
113,-,88178,113,38
113,-,22088,60,106
97,+,31026,56,42
97,+,46992,9,53
113,/,22918,92,23
113,+,92067,21,106
97,+,49039,65,22
97,-,31026,89,91
113,-,11343,23,20
97,-,13485,51,48
113,-,74692,22,90
97,-,94353,67,2
97,/,89479,70,17
97,-,81815,8,36
97,-,94353,29,40
97,-,55447,15,45
113,+,48186,96,31
97,+,13485,11,13
113,/,76255,28,11
97,/,60736,66,47
113,-,32819,19,30
113,/,45420,22,30
97,+,302,44,55
113,+,38133,85,24
97,+,13470,10,94
97,/,71429,36,44
97,/,3357,19,79
113,+,60439,91,75
113,-,92447,84,42
97,+,96984,31,15
97,-,49203,32,89
97,-,7373,87,11
97,/,89479,25,87
97,-,39030,74,59
113,/,36672,85,92
113,/,62575,86,49
113,/,50938,107,24
113,/,15577,32,34
97,-,49203,16,8
113,/,96626,49,50
113,-,11343,79,77
113,+,22918,1,93
97,/,84026,58,90
97,+,84096,47,44
113,-,15416,22,26
113,+,69342,37,110
113,-,32155,0,63
97,/,90189,54,21
97,+,39813,92,38
97,+,68089,91,86
97,-,66732,31,62
97,-,89479,34,11
113,/,88178,13,2
97,-,41940,74,59
113,-,38286,33,59
113,+,21170,67,106
113,+,11670,43,74
113,+,90132,74,32
113,+,2296,0,36
113,/,61208,82,68
113,+,17221,104,36
97,-,69658,36,73
97,-,49203,39,82
97,/,3357,36,93
113,-,17221,48,110
97,/,31330,93,45
113,/,12109,12,105
97,+,39855,62,50
113,+,92067,72,44
97,-,64490,85,94
97,+,17986,12,53
97,-,34913,5,85
97,/,3357,63,53
113,/,66952,10,28
97,+,60736,5,19
97,+,29432,29,70
113,/,99188,72,21
113,-,69342,66,7
113,/,64945,2,41
97,-,36413,0,38
97,-,80549,18,21
97,+,68089,4,96
113,/,42439,83,59
113,/,90764,100,3
113,-,56838,71,41
97,+,34702,27,3
113,-,44017,84,89
97,-,65197,67,43
97,+,84096,55,52
113,/,66952,104,78
113,/,88625,38,72
97,+,17986,29,70
113,/,90338,16,109
113,+,88178,105,30
113,+,5188,112,102
113,-,44017,93,80
113,-,65979,49,51
113,-,32138,20,26
97,/,86933,23,93
97,/,9297,90,6
113,+,54179,46,98
113,+,78097,30,44
113,-,77503,25,73
113,+,11670,109,27
113,/,18628,39,25
113,+,35865,22,66
113,+,29376,54,50
113,/,21170,96,107
113,+,25005,22,54
113,-,22704,40,64
113,+,45066,43,22
113,+,38133,1,53
113,/,76255,73,27
97,-,10109,89,29
97,/,9230,44,15
113,-,69342,55,18
113,-,74692,0,112
113,-,16295,107,29
113,-,90082,6,15
113,/,45819,52,90
113,/,64945,33,47
113,/,32155,93,6
113,+,2527,41,82
97,-,49203,79,42
97,-,75993,63,76
113,/,99308,95,28
97,/,3357,65,51
113,-,13469,54,81
113,-,67524,55,8
113,/,98030,65,39
113,/,60261,1,32
113,-,90132,63,8
97,+,9313,30,31
113,-,8764,1,62
97,/,7373,8,48
113,/,45819,96,25
97,-,22704,62,41
113,-,56838,105,7
97,+,9078,76,36
113,/,84344,84,100
113,+,44017,103,50
113,+,98030,111,57
97,/,75993,41,10
113,-,85237,4,31
113,-,45420,80,27
97,-,85802,73,78
97,-,39776,87,16
97,+,89387,38,88
113,-,90338,101,63
97,/,29432,72,20
113,/,11670,17,8
113,+,10530,8,29
113,-,46526,103,93
97,-,55447,8,52
97,/,51782,8,70
97,-,302,81,27
113,/,46526,100,13
113,-,64460,4,46
97,+,56754,33,42
113,/,11343,58,82
113,/,60716,2,74
113,+,38133,17,69
113,-,60716,49,99
113,-,92542,62,46
113,-,35865,25,19
97,+,34702,5,78
113,+,16295,31,54
113,/,77452,32,47
113,/,13880,48,63
113,-,88107,44,36
113,+,65979,44,31
97,-,9230,66,46
113,+,52810,47,86
97,-,58237,85,49
97,-,59127,31,23
113,/,6496,58,112
97,-,92272,51,71
97,+,49203,47,71
113,-,40483,52,90
97,-,70596,38,39
113,+,6268,4,57
97,+,69912,55,30
113,-,87985,108,76
113,-,61208,7,68
113,+,5188,53,43
113,+,53879,111,89
113,+,17221,28,73
113,-,73271,59,101
113,-,90764,13,12
113,-,16295,29,107
113,+,38353,82,15
113,/,2527,77,32
113,-,15577,67,29
97,+,92272,21,46
97,-,51782,82,96
113,+,46526,47,17
97,+,302,1,12
113,+,85237,110,32
97,/,5520,25,26
113,/,64108,41,94
97,-,35467,19,43
113,/,92437,29,23
113,-,92437,81,35
113,+,60716,75,110
97,-,39030,38,95
113,-,54179,31,21
97,/,9297,65,46
113,/,92447,1,13
97,/,50757,69,56
113,+,25005,5,37
97,-,39776,86,17
113,-,98262,9,56
113,+,84984,30,38
113,+,88178,58,96
113,-,62226,81,108
113,/,90764,73,0
113,+,46526,30,0
97,/,47106,39,43
97,-,78480,18,86
113,/,13880,102,23
97,-,25367,81,66
113,+,3489,41,27
97,+,55447,97,60
113,-,50938,72,16
113,/,11343,37,80
113,/,38133,14,11
97,+,77561,27,85
97,+,9127,45,54
97,-,50757,29,94
113,-,62226,8,68
113,/,44017,111,57
97,-,71429,62,72
113,-,45819,20,34
113,-,38133,77,88
113,/,15416,14,84
97,-,84096,36,58
97,+,86933,10,31
113,-,2296,33,3
113,-,90082,96,38
97,+,36556,67,54
113,-,4030,61,14
97,/,41940,44,80
97,/,34702,83,30
97,+,37093,73,15
97,/,65197,65,33
113,/,62226,52,66
113,/,87038,4,63
97,+,27813,30,4
97,/,17918,33,57
97,/,25367,73,56
113,-,42439,38,26
97,+,66732,48,44
97,/,21582,75,93
113,+,16295,111,21
113,/,76255,112,2
113,+,22918,26,5
113,-,92447,73,53
97,/,96984,26,44
113,-,51677,17,19
97,/,39855,3,93
113,-,16295,79,57
97,/,5520,63,87
97,+,17531,1,72
113,-,60444,98,4
113,-,51677,39,110
97,+,13470,29,16
113,-,94245,86,30
97,/,81442,65,88
113,-,62226,112,77
113,+,61287,44,85
113,-,94245,10,106
113,/,78288,40,36
97,/,21691,35,37
97,+,97317,80,9
97,+,76017,50,19
113,-,52810,9,30
97,/,17918,69,65
97,+,10109,83,7
97,-,47106,69,89
113,/,22918,109,97
97,+,59127,1,55
113,-,25005,102,43
113,/,15416,50,82
113,+,46526,23,106
113,+,18391,56,28
97,+,86933,25,46
97,-,9313,53,45
113,/,61208,4,47
113,-,32819,88,74
113,+,51028,20,85
97,-,302,92,16
113,+,21170,83,9
113,/,42439,105,65
113,-,73905,23,93
97,+,39855,95,83
97,+,39030,36,72
113,+,64108,12,49
97,-,32087,6,71
97,-,10109,87,31
113,/,78288,14,55
113,-,45420,10,97
97,+,21691,28,88
97,-,36935,11,64
97,-,2688,63,6
97,+,80549,39,78
113,+,84344,91,24
113,/,71965,45,17
97,+,9297,45,30
97,/,65197,66,17
97,-,22704,6,0
97,/,3357,22,55
97,/,56754,61,57
113,/,53879,102,76
97,+,37093,59,1
113,+,46526,80,50
97,/,3080,48,64
97,-,41477,68,87
97,/,29432,75,4
97,+,94353,21,90
97,+,84026,1,25
113,+,29376,44,40
113,-,27885,79,8
97,+,2688,88,60
113,/,66952,65,13
113,-,45066,50,42
113,-,18391,55,30
113,-,99308,2,92
97,/,10109,62,66
97,-,34702,53,20
113,-,8764,36,27
113,-,60444,89,13
113,+,95111,38,3
113,-,85237,24,11
113,/,90132,70,44
113,+,67524,96,46
113,/,92447,82,110
113,/,69342,81,65
113,+,98030,79,25
97,+,45468,26,1
97,-,46992,40,4
113,+,77503,90,75
113,-,99308,28,66
113,/,45420,106,89
97,+,50757,5,31
97,-,58237,82,52
97,+,2688,39,11
113,/,78288,71,85
113,-,96626,58,66
97,-,39776,46,57
113,-,48186,80,81
113,-,64108,1,36
97,/,37093,1,39
113,/,51028,73,21
113,-,45066,101,104
97,-,66969,13,26
97,/,86933,6,35
97,/,24752,4,77
113,/,87985,95,22
97,+,7373,59,60
113,-,38286,8,84
97,+,34702,25,1
113,+,7715,13,44
97,/,31026,83,82
113,+,92437,61,64
113,-,94245,84,32
97,/,97913,3,45
97,+,49384,17,28
113,-,66952,54,2
97,/,17531,34,30
113,-,92542,37,71
97,/,36413,96,88
113,-,53879,30,61
113,/,62226,81,90
97,/,49203,16,68
113,+,2296,58,94
113,-,64108,89,61
113,/,60261,38,3
113,/,92437,23,64
113,-,48186,56,105
97,+,9230,85,3
113,/,38124,49,100
113,+,64460,65,2
97,-,50757,39,84
113,/,38133,17,96
113,/,40483,21,6
97,-,69912,72,0
113,/,28473,56,56
113,-,6146,22,22
113,-,15577,6,90
113,-,18391,107,91
97,/,5520,70,78
113,-,18391,33,52
113,/,60439,21,53
113,-,7715,107,37
113,+,73905,6,9
113,-,3489,10,89
113,+,53879,89,67
113,/,90338,12,70
97,+,81815,47,91
113,+,4738,73,65
113,-,38353,26,20
97,+,9127,44,53
97,-,45468,96,73
97,-,29432,43,95
113,+,44017,83,30
97,+,31026,34,20
113,/,9184,72,14
97,-,24752,38,76
113,/,38133,88,94
97,-,13485,1,1
113,/,71965,63,12
97,/,66732,19,20
113,+,47699,36,49
97,-,61954,10,58
113,+,4030,34,109
97,+,97317,71,0
97,+,32087,59,39
97,/,65197,80,38
113,+,77503,78,63
113,-,77452,110,50
113,/,60261,107,111
97,+,58237,26,63
97,/,9230,71,33
113,-,9184,22,9
113,-,3489,29,70
97,+,77561,36,94
113,+,50938,40,15
97,+,22704,77,83
113,/,52810,96,98
113,+,32819,84,20
97,-,76017,24,42
113,-,96626,35,89
97,/,47058,90,37
113,+,99188,51,25
97,-,49039,50,4
113,/,60439,74,25
97,/,76017,38,60
97,-,17918,13,57
113,-,25005,62,83
113,+,62226,92,55
113,+,51677,56,92
113,/,47699,70,3
97,+,59127,51,8
113,/,51677,7,37
97,/,25367,80,26
113,/,32138,33,69
113,-,95111,10,68
97,-,39776,26,77
97,+,58237,27,64
97,+,80549,82,24
97,+,29432,14,55
97,-,64490,94,85
113,+,47699,23,36
113,-,69342,42,31
113,-,40483,89,53
113,/,38133,81,18
97,/,51782,10,37
97,+,66732,85,81
113,-,9184,104,40
97,/,68089,26,96
113,/,6496,69,94
113,-,78288,53,39
97,+,34702,45,21
113,-,22918,110,95
113,/,60439,90,106
113,-,96626,79,45
113,/,78097,65,71
97,+,97317,70,96
113,+,28473,13,10
97,-,5956,32,7
97,+,50757,92,21
113,+,45819,26,80
113,+,38133,27,79
113,+,15416,87,22
113,-,36672,80,93
97,+,49203,4,28
113,/,32819,13,38
97,-,61954,18,50
113,+,64945,15,98
97,-,49203,25,96
113,/,32138,22,104
97,-,9297,67,15
97,/,81442,7,91
113,+,92542,5,0
113,-,90132,17,54
97,/,81442,77,87
113,-,64945,85,111
97,-,78745,36,42
113,-,29229,85,103
97,+,39855,50,38
113,+,16295,85,108
97,/,2688,18,52
97,-,85802,65,86
113,/,46526,30,81
113,+,11343,44,87
113,+,90132,70,28
113,+,10530,89,110
113,-,22918,66,26
97,+,49039,76,33
97,+,39030,50,86
113,+,29376,42,38
97,/,70596,78,32
113,+,92447,67,80
113,-,45420,79,28
113,/,29376,92,93
97,/,21691,50,45
113,+,90082,59,80
97,/,31026,60,32
97,/,56754,43,58
97,-,81815,91,50
113,+,5188,90,80
113,-,5188,35,68
97,-,58237,94,40
113,+,65979,96,83
97,-,17531,26,45
113,-,62575,109,90
113,/,92067,51,110
113,/,9184,13,28
97,+,96984,95,79
113,/,46646,100,14
113,-,12109,69,62
97,/,3357,71,47
97,/,49384,10,88
113,+,15416,86,21
113,+,11670,38,69
97,/,31026,64,96
113,-,35865,47,110
